Remarks,RCA,Query,Type,open_tokens,l1l2l4_category,l1l2l3_category,brand,color,pack size
matches too much with adivasi hair oil ,,hair care oil,Generic Words (Narrow),,['Groceries: Personal Care - Hair Oil & Serum'],['Groceries: Personal Care - Hair Care'],,,
"working well , but shows pack of 2 more",,ariel front load liquid,Generic + Brand,,['Groceries: Home Care - Detergents & Cleaners'],['Groceries: Home Care - Detergent Powder & Liquid'],['Ariel'],,
shows only 2 correct products,"name text overfit, shows packs of 4 for other things",surf excel bar pack of 4,Generic + PackSize,,['Groceries: Home Care - Detergents & Cleaners'], ['Groceries: Home Care - Detergent Bars'],['Surf Excel'],,['pack of 4']
working well ,,moisturiser,Generic Words (Broad),,"['Groceries: Personal Care - Face Care','Groceries: Personal Care - Body Care','Groceries: Personal Care - Face Cream & Mosturizer']",['Groceries: Personal Care - Skin Care'],,,
 works fine but some other brands also show up,,fem hair removal cream,Generic Words (Narrow),,"['Groceries: Personal Care - Hair Removal','Groceries: Personal Care - Shaving & Hair Removal']",['Groceries: Personal Care - Feminine Hygiene'],['fem'],,
works well,,garnier hair colour,Generic + Brand,,['Groceries: Personal Care - Hair Color'],['Groceres: Personal Care - Hair Care'],['Garnier'],,
shows only 1 correct product showing other products,fotune,fortune atta 10 kg,Generic + PackSize,,['Groceries: Cooking Essentials - Atta'],"['Groceries: Cooking Essentails - Atta, Flours & Sooji']",['Fortune'],,['10 kg']
works well,,bottle,Generic Words (Broad),,['Groceries: Kitchenware - Water Bottle'],"['Groceries: Kitchenware - Flask, Bottle & Tiffin Boxes']",,,
works well,,moong sabut,Generic Words (Narrow),,['Groceries: Cooking Essentials - Moong Dal'],['Groceries: Cooking Essentials - Dal & Pulses'],,,
shows tajmahal not tea,name text overfit,tajmahal tea,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Leaf & Dust Tea']","['Groceries: Biscuits, Drinks & Packaged Foods - Tea']",['Taj Mahal'],,
not working,fortune,fortune oil 15 liter,Generic + PackSize,['liter'],"['Groceries: Cooking Essentials - Soyabean Oil','Groceries: Cooking Essentials - Groundnut Oil','Groceries: Cooking Essentials - Sunflower Oil','Groceries: Cooking Essentials - Rice Bran Oil']",['Groceries : Cooking Essentials - Edible Oil's'],['Fortune'],,['15 L']
works fine,,buscuit,Generic Words (Broad),['buscuit'],"['Groceries: Biscuits, Drinks & Packaged Foods - Cream Biscuits & Wafers','Groceries: Biscuits, Drinks & Packaged Foods - Cookies']","['Groceries: Biscuits, Drinks & Packaged Foods - Biscuits & Cookies']",,,
"works fine , but shows one product more",,cashew nuts,Generic Words (Narrow),,['Groceries: Cooking Essentials - Cashews / Kaaju'],['Groceries: Cooking Essentials - Dry Fruits & Nuts'],,,
works well,,classmate notebook,Generic + Brand,,"['Groceries: School, Office & Stationery - Diaries & Notebooks']","['Groceries: School, Office & Stationery - Notebooks & Paper Products']",['classmate'],,
works well,,tea 1 kg,Generic + PackSize,,"['Groceries: Biscuits, Drinks & Packaged Foods - Leaf & Dust Tea']","['Groceries: Biscuits, Drinks & Packaged Foods - Tea']",,,['1 kg']
works well,,kellogs,Generic Words (Broad),['kellogs'],"['Groceries: Biscuits, Drinks & Packaged Foods - Muesli','Groceries: Biscuits, Drinks & Packaged Foods - Flakes']","['Groceries: Biscuits, Drinks & Packaged Foods - Breakfast Cereals']",['Kellogg's'],,
works well,,aloe vera gel,Generic Words (Narrow),,['Groceries: Personal Care - Face Gels'],['Groceries: Personal Care - Skin Care'],,,
"shows only 4 correct products in first page , showing t shirts",name text overgit,heritage ghee,Generic + Brand,,['Groceries: Cooking Essentials - Ghee'],['Groceries: Cooking Essentials - Ghee'],['Heritage'],,
works fine,,cooker 3 litre,Generic + PackSize,,['Home & Lifestyle: Kitchenware - Pressure Cooker'],['Home & Lifestyle: Kitchenware - Cookers & Steamers'],,,['3 L']
works fine,,musali,Generic Words (Broad),['musali'],['Groceries: Personal Care - Herbal & Ayurvedic'],['Groceries: Personal Care - Health Wellness'],,,
works fine,,fogg,Generic Words (Narrow),,['Groceries: Personal Care -  Deodorants'],['Groceries: Personal Care -  Deo & Frarance'],['Fogg'],,
works fine,,lux body wash for women,Generic + Brand,,['Groceries: Personal Care - Shower Gel & Body Wash'],['Groceries: Personal Care - Bath & Hand Wash'],['Lux'],,
"correect products comes up , but not correct pack size","name text overfit, 'butrichoice' preferred over 'butri choice'",nutrichoice biscuits digestive 1kg,Generic + PackSize,"['nutrichoice', 'digestive']","['Groceries: Biscuits, Drinks & Packaged Foods - Marie, Health, Diestive']","['Groceries: Biscuits, Drinks & Packaged Foods - Biscuits & Cookies']",,,['1 Kg']
works fine,,soup,Generic Words (Broad),,"['Groceries: Biscuits, Drinks & Packaged Foods - Soups']","['Groceries: Biscuits, Drinks & Packaged Foods - Ready To Cook & Eat']",,,
works fine,,complan,Generic Words (Narrow),,"['Groceries: Biscuits, Drinks & Packaged Foods - Nutritional Drinks']","['Groceries: Biscuits, Drinks & Packaged Foods - Drinks & Juices']",,,
works fine,,parachute aloe vera oil,Generic + Brand,,['Groceries: Personal Care - Hair Oil & Serum'],['Groceries: Personal Care - Hair Care'],['Parachute'],,
"works fine with brand , but size is not correct",working fine,sprite 250 ml,Generic + PackSize,,"['Groceries: Biscuits, Drinks & Packaged Foods - Cold Drinks']","['Groceries: Biscuits, Drinks & Packaged Foods - Drinks & Juices']",['Sprite'],,['250 ML']
works fine,,broom,Generic Words (Broad),,['Industrial & Proffesional Supplies: Home Cleaning & Organisation - Brooms & Accssories'],['Industrial & Proffesional Supplies: Home Cleaning & Organisation - Cleaning Tools'],,,
works fine,,vimbar,Generic Words (Narrow),,['Groceries: Home Care - Dishwash Bars & Powders'],['Groceries: Home Care - Dishwash'],['Vim'],,
"stayfree pads not coming, other brands are on top",name text - sanitary napkkin vs sanitary pad,sanitary pads for women stayfree,Generic + Brand,,['Groceries: Personal Care - Sanitary Napkins'],['Groceries: Personal Care - Feminine Hygiene'],['Stayfree'],,
"shows motor oil, oil dispenser etc",edible oil - need tio generalise oil to edible oil instead of other types of oil,oil 1 litre,Generic + PackSize,,"['Groceries: Cooking Essentials - Soyabean Oil','Groceries: Cooking Essentials - Groundnut Oil','Groceries: Cooking Essentials - Sunflower Oil','Groceries: Cooking Essentials - Rice Bran Oil']",['Groceries : Cooking Essentials - Edible Oil's'],,,['1 L']
working fine,,oral b,Generic Words (Broad),"['oral','b']",['Groceries: Personal Care - Toothbrush'],['Groceries: Personal Care -Oral Care'],['Oral-B'],,
working fine,,chocos,Generic Words (Narrow),['chocos'],"['Groceries: Biscuits, Drinks & Packaged Foods - Flakes']","['Groceries: Biscuits, Drinks & Packaged Foods - Breakfast Cereals']",['Oral-B'],,
working fine,,ponds white beauty face wash,Generic + Brand,,['Groceries: Personal Care - Face Wash & Clensers'],['Groceries: Personal Care - Skin Care'],['Ponds's'],,
mostly working but some random bags with 1 kg capacity mixed in,name text overfit,horlicks 1kg,Generic + PackSize,,"['Groceries: Biscuits, Drinks & Packaged Foods - Nutritional Drinks']","['Groceries: Biscuits, Drinks & Packaged Foods - Drinks & Juices']",['Horlicks'],,['1 Kg']
shows phone cases,"name text overfit, snack time in name text",snack,Generic Words (Broad),,"['Groceries: Biscuits, Drinks & Packaged Foods - Cream Biscuits & Wafers','Groceries: Biscuits, Drinks & Packaged Foods - Cookies']","['Groceries: Biscuits, Drinks & Packaged Foods - Biscuits & Cookies']",,,
working fine,,jasmine oil,Generic Words (Narrow),,['Groceries: Personal Care - Hair Oil & Serum'],['Groceries: Personal Care - Hair Care'],,,
working fine,,vicco tooth paste,Generic + Brand,,['Groceries: Personal Care - Tootpaste'],['Groceries: Personal Care -Oral Care'],['Vicco'],,
working fine,,shampoo 1 ltr,Generic + PackSize,,['Groceries: Personal Care & Beauty - Shampoo'],['Groceries: Personal Care & Beauty - Hair Care'],,,['1 L']
"showing only dhania seeds on top, leaves and powder are missing",,dhania,Generic Words (Broad),,"['Groceries: Fruits & Vegetables - Leafy Vegetables', 'Groceries: Cooking Essentials - Powdered Spices', 'Groceries: Cooking Essentials - Whole Spices']","['Groceries: Fruits & Vegetables - Basic Vegetables', 'Groceries: Cooking Essentials - Masala, Spices & Mukhwas']",,,
"works alright, only one aftershave bar shown other than lotion on page 1",,aftershave lotion,Generic Words (Narrow),,['Beauty: Men's Grooming - Aftershave Lotion'],['Beauty: Men's Grooming - Shaving'],,,
"shows amul icecream, amul cream clothes along with fresh cream. Ranking not ok",,amul cream,Generic + Brand,,['Groceries: Dairy & Bakery - Milk Powder & Cream'],['Groceries: Dairy & Bakery - Milk & Milk Products'],['Amul'],,
"works ok ok, also shows aquarium sugar size crystals and 2.5kg sugar packs",,suger 5 kg,Generic + PackSize,,['Groceries: Cooking Essentials - Sugar'],"['Groceries: Cooking Essentials - Salt, Sugar & Jaggery']",,,['5 kg']
"whole and powdered turmeric coming, kumkum also coming on page 1. Fresh turmeric missing in first few pages",,turmeric,Generic Words (Broad),,"['Groceries: Cooking Essentials - Powdered Spices', 'Groceries: Cooking Essentials - Whole Spices', 'Groceries: Personal Care - Herbal & Ayurvedic', 'Groceries: Fruits & Vegetables - Other Vegetables']","['Groceries: Cooking Essentials - Masala, Spices & Mukhwas', 'Groceries: Personal Care - Health & Wellness', 'Groceries: Fruits & Vegetables - Roots, Herbs & Others']",,,
working fine,,kishmis,Generic Words (Narrow),['kishmis'],['Groceries: Cooking Essentials - Raisins / Kishmish'],['Groceries: Cooking Essentials - Dry Fruits & Nuts'],,,
working fine,,nivea rollon,Generic + Brand,,['Groceries: Personal Care - Roll on'],['Groceries: Personal Care - Deo & Fragrances'],['Nivea'],,
working fine,,ghee 500 ml,Generic + PackSize,,['Groceries: Cooking Essentials - Ghee'],['Groceries: Cooking Essentials - Ghee'],,,['500 ml']
"shows pear fruit for first 4 pages, unable to validate post that","name text overfit (brand pears is not part of the name text, technically speaking)",pears,Generic Words (Broad),,"['Groceries: Personal Care - Bathing Bars & Soaps','Groceries: Fruits & Vegetables - Pears']","['Groceries: Fruits & Vegetables - Fresh Fruits','Groceries: Personal Care - Bath and Hand Wash']",['Pears'],,
works fine,,green cardmom,Generic Words (Narrow),,['Groceries: Cooking Essentials - Whole Spices'],"['Groceries: Cooking Essentials - Masala, Spices & Mukhwas']",,,
works fine,,head and shoulder shampoo,Generic + Brand,,['Beauty: Hair - Shampoos'],['Beauty: Hair - Hair Care'],['Head and Shoulders'],,
shows phone skins with wheat print alongside wheat,name text overfit,wheat 10kg,Generic + PackSize,,"['Groceries: Cooking Essentials - Lokwan Wheat','Groceries: Cooking Essentials - Sharbati Sihore Wheat']",['Groceries: Cooking Essentials - Wheat & Soya'],,,['10 Kg']
shows phone skins with mushroom print alongside mushroom,name text overfit,mushroom,Generic Words (Broad),,['Groceries: Fruits & Vegetables - Exotic Vegetables'],['Groceries: Fruits & Vegetables - Premium Fruits & Vegetables'],,,
works alright,,noodles packets,Generic Words (Narrow),,"['Groceries: Biscuits, Drinks & Packaged Foods - Instant, hakka, cup noodles']","['Groceries: Biscuits, Drinks & Packaged Foods - Noodles, Pasta & Vermicelli']",,,
works alright,,b natural juice,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Juices']","['Groceries: Biscuits, Drinks & Packaged Foods - Drinks & Juices']",['B Natural'],,
shows motor oil,oil-issues,refined oil 5l,Generic + PackSize,,"['Groceries: Cooking Essentials - Soyabean Oil','Groceries: Cooking Essentials - Groundnut Oil','Groceries: Cooking Essentials - Sunflower Oil','Groceries: Cooking Essentials - Rice Bran Oil']",['Groceries : Cooking Essentials - Edible Oil's'],,,['5 L']
works alright,,water,Generic Words (Broad),,"['Groceries: Biscuits, Drinks & Packaged Foods - Packaged Water']","['Groceries: Biscuits, Drinks & Packaged Foods - Drinks & Juices']",,,
works alright,,castor oil,Generic Words (Narrow),,['Groceries: Cooking Essentials - Castor Oil'],['Groceries : Cooking Essentials - Edible Oil's'],,,
shows other products with sprite in product name,name text overfit,cold drink sprite,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Cold Drinks']","['Groceries: Biscuits, Drinks & Packaged Foods - Drinks & Juices']",['Sprite'],,
works alright,,floor cleaner 5l,Generic + PackSize,,['Groceries: Home Care - Floor & Other Cleaners'],['Groceries: Home Care - Detergents & Cleaners'],,,['5 L']
shows sandwich grills,,sandwich,Generic Words (Broad),,,,,,
works alright,,red chilli sauce,Generic Words (Narrow),,"['Groceries: Biscuits, Drinks & Packaged Foods - Dips, Dressings, Chilli & Soya Sauce']","['Groceries: Biscuits, Drinks & Packaged Foods - Spread, Sauces & Ketchup']",,,
works alright,,allout refil,Generic + Brand,,['Groceries: Home Care - Mosquito Repellent'],['Groceries: Home Care - Freshners & Repellents'],['All Out'],,
works alright,,sugar 5kg madhur,Generic + PackSize,,['Groceries: Cooking Essentials - Sugar'],"['Groceries: Cooking Essentials - Salt,Sugar & Jaggery']",['Madhur'],,['5 Kg']
works alright,,napkins,Generic Words (Broad),,"['Category: Home & Kitchen -  Table Napkins, Coasters & Placemats']",['Category: Home & Kitchen -  Kitchen & Dining'],,,
also show colgate toothbrush,,colgate toothpaste,Generic + Brand,,['Groceries: Personal Care - Toothpaste'],['Groceries: Personal Care - Oral Care'],['Colgate'],,
shows plastic containers with 3 dozen egg capacity,,egg 30,Generic + PackSize,,,,,,['30']
"kinda sorta works, shows strange ginger like products",,adrak,Generic Words (Broad),,"['Groceries: Cooking Essentials - Powdered Spices','Groceries: Cooking Essentials - Cooking Paste']","['Groceries: Cooking Essentials - Masala, Spices & Mukhwas']",,,
working fine,,garbage bag medium,Generic Words (Narrow),,['Home & Lifestyle: Disposables - Grabage Bags'],['Home & Lifestyle: Disposables - Home Hygiene'],,,['Medium']
"wokring fine, shows other del monte sauces after ketchup",,delmonte ketchup,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Tomato Ketchup & Sauces']","['Groceries: Biscuits, Drinks & Packaged Foods - Spread, Sauces & Ketchup']",['Del Monte'],,
working fine,,pickle 1kg,Generic + PackSize,,"['Groceries: Biscuits, Drinks & Packaged Foods - Other Pickles']","['Groceries: Biscuits, Drinks & Packaged Foods - Pickles, Chutney and Flavouring']",,,['1 Kg']
working fine,,spaghetti pasta,Generic Words (Broad),,"['Groceries: Biscuits, Drinks & Packaged Foods - Pasta & Macaroni']","['Groceries: Biscuits, Drinks & Packaged Foods - Noodles, Pasta & Vermicelli']",,,
working fine,,roasted vermicelli,Generic Words (Narrow),,"['Groceries: Biscuits, Drinks & Packaged Foods - Vermicelli']","['Groceries: Biscuits, Drinks & Packaged Foods - Noodles, Pasta & Vermicelli']",,,
"completely broken, shosw 50-50 mix filter coffee on top before biscuits",,50 50 biscuits,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Salted Biscuits']","['Groceries: Biscuits, Drinks & Packaged Foods - Biscuits & Cookies']",['britannia'],,
"working fine, shows some 1x5 kg packs mixed with normal 5 kg packs",,wheat flour 5kg,Generic + PackSize,,"['Groceries: Cooking Essentials - Lokwan Wheat','Groceries: Cooking Essentials - Sharbati Sihore Wheat']",['Groceries: Cooking Essentials - Wheat & Soya'],,,['5 Kg']
working fine,,pomegranate juice,Generic Words (Broad),,"['Groceries: Biscuits, Drinks & Packaged Foods - Juices']","['Groceries: Biscuits, Drinks & Packaged Foods - Drinks & Juices']",,,
"working okayish, shows kashmiri chillies mixed with kashmiri chilli powders",,kashmiri lal mirch,Generic Words (Narrow),,['Groceries: Cooking Essentials - Powdered Spices'],"['Groceries: Cooking Essentials - Masala, Spices & Mukhwas']",,,
"not good, other lip balms way more prominent though vaslien are present",,vaseline lip balm,Generic + Brand,,['Groceries: Beauty - Lip Care'],['Groceries: Beauty - Nails & Lips'],['Vaseline'],,
"okay okay, namkeen and besan laddoo mixed in",,besan 1kg,Generic + PackSize,,['Groceries: Cooking Essentials - Besan'],"['Groceries: Cooking Essentails - Atta, Flours & Sooji']",,,['1 Kg']
working fine,,bay leaf,Generic Words (Broad),,['Groceries: Cooking Essentials - Whole Spices'],"['Groceries: Cooking Essentials - Masala, Spices & Mukhwas']",,,
working fine,,rock salt,Generic Words (Narrow),,['Groceries: Cooking Essentials - Salt'],"['Groceries: Cooking Essentials - Masala, Spices & Mukhwas']",,,
working fine,,parle biscuits,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Glucose & Milk Biscuits']","['Groceries: Biscuits, Drinks & Packaged Foods - Biscuits & Cookies']",['Parle'],,
"not working fine, showing rice seeds for farming and other random things like rice dispenser majorly with some actual rice",,10 kg rice,Generic + PackSize,,"['Groceries: Cooking Essentials - Basmati Rice','Groceries: Cooking Essentials - Other Rice Varieties']",['Groceries: Cooking Essentials - Rice'],,,['10 Kg']
"okayish, shows some chocolate peanut butter with rolled oats combos instead of chocolate flavoured oats",,chocolate oats,Generic Words (Broad),,"['Groceries: Biscuits, Drinks & Packaged Foods - Oats']","['Groceries: Biscuits, Drinks & Packaged Foods - Breakfast Cereals']",,,
working fine,,detergent powder,Generic Words (Narrow),,['Groceries: Home Care - Detergents & Cleaners'],['Groceries: Home Care - Detergent Powder & Liquid'],,,
"working fine, perk followed by other chocolates",,perk chocolate,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Chocolates']","['Groceries: Biscuits, Drinks & Packaged Foods - Chocolates & Candies']",['Cadbury'],,
working fine,,cashew 500 gm,Generic + PackSize,,['Groceries: Cooking Essentials - Cashews / Kaaju'],['Groceries: Cooking Essentials - Dry Fruits & Nuts'],,,['500 gm']
shows wigs,,loreal hair,Generic Words (Broad),,"['Groceres: Personal Care - Hair & Scalp Treatment','Groceries: Personal Care - Hair Oil & Serum']",['Groceres: Personal Care - Hair Care'],['L'Oreal Paris'],,
working fine,,refined sunflower oil,Generic Words (Narrow),,['Groceries: Cooking Essentials - Sunflower Oil'],['Groceries : Cooking Essentials - Edible Oil's'],,,
"shows bhel, but bikaji bhel coming on 4th page",,bikaji bhel,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Namkeen & Savoury Snacks']","['Groceries: Biscuits, Drinks & Packaged Foods - Chips & Namkeens']",['Bikaji'],,
" mostly works, but does not give correct size",,cold drinks 2 ltr,Generic + PackSize,,"['Groceries: Biscuits, Drinks & Packaged Foods - Cold Drinks']","['Groceries: Biscuits, Drinks & Packaged Foods - Drinks & Juices']",,,['2 L']
working fine,,sugar powder,Generic Words (Broad),,['Groceries: Cooking Essentials - Sugar'],"['Groceries: Cooking Essentials - Salt,Sugar & Jaggery']",,,
working fine,,tomato ketchup,Generic Words (Narrow),,"['Groceries: Biscuits, Drinks & Packaged Foods - Tomato Ketchup & Sauces']","['Groceries: Biscuits, Drinks & Packaged Foods - Spread, Sauces & Ketchup']",,,
working fine,,comfort liquid,Generic + Brand,,['Groceries: Home Care - Detergents & Cleaners'],['Groceries: Home Care - Detergent Powder & Liquid'],['Comfort'],,
working fine,,toor dal 1 kg,Generic + PackSize,,['Groceries: Cooking Essentials - Toor Dal'],['Groceries : Cooking Essentials - Dals & Pulses'],,,['1 Kg']
"mostly works, but some sweets from from milky moo brand coming",,milk,Generic Words (Broad),,['Groceries: Diary & Bakery - Milk'],['Groceries: Diary & Bakery - Milk & Milk Products'],,,
working fine,,chat masala,Generic Words (Narrow),,['Groceries: Cooking Essentials - Blended Masalas'],"['Groceries: Cooking Essentials - Masala, Spices & Mukhwas']",,,
working fine,,lijjat papad,Generic + Brand,,"['Groceries: Cooking Essentials - Papads, Ready To Fry']",['Groceries: Cooking Essentials - Ready To Cook & Eat'],['Lijjat'],,
showing random taj mahal products,,taj mahal tea 1kg,Generic + PackSize,,"['Groceries: Biscuits, Drinks & Packaged Foods - Leaf & Dust Tea'] ","['Groceries: Biscuits, Drinks & Packaged Foods - Tea'] ",['Taj Mahal'],,['1 Kg']
works ok,,kheera,Generic Words (Broad),,['Groceries: Fruits & Vegetables - Cucumber'],['Groceries: Fruits & Vegetables - Basic Vegetables'],,,
works ok,,chilli sauce,Generic Words (Narrow),,"['Groceries: Biscuits, Drinks & Packaged Foods - Dips, Dressings, Chilli & Soya Sauce']","['Groceries: Biscuits, Drinks & Packaged Foods - Spread, Sauces & Ketchup']",,,
works ok,,maxfresh toothpaste,Generic + Brand,,['Groceries: Personal Care - Toothpaste'],['Groceries: Personal Care - Oral Care'],['Colgate'],,
works ok,,almonds 1kg,Generic + PackSize,,['Groceries: Cooking Essentials - Almonds/Badam'],['Groceries: Cooking Essentials - Dry Fruits & Nuts'],,,['1 Kg']
works ok,,face mask,Generic Words (Broad),,"['Industrial & Professional Supplies: Security Saftey & Automation - Masks & Respirators','Groceries: Personal Care - Sheet Masks']","['Industrial & Professional Supplies: Security Saftey & Automation - Personal Protective Equipment','Groceries: Personal Care - Skin Care']",,,
works ok,,hair removal spray,Generic Words (Narrow),,"['Groceries: Personal Care - Hair Removal','Groceries: Personal Care - Shaving & Hair Removal']",['Groceries: Personal Care - Feminine Hygiene'],,,
works ok,,godrej liquid detergent,Generic + Brand,,['Groceries: Home Care - Detergents & Cleaners'],['Groceries: Home Care - Detergent Powder & Liquid'],['Godrej'],,
works ok,,suji 1kg,Generic + PackSize,,['Groceries: Cooking Essentials - Rawa/Sooji'],"['Groceries: Cooking Essentials - Atta, Flours & Sooji']",,,['1 Kg']
works ok,,pizza base,Generic Words (Broad),,"['Groceries: Diary & Bakery - Buns, Pavs & Pizza Base']",['Groceries: Diary & Bakery - Breads & Buns'],,,
also shows products containing palm oil,,palm oil,Generic Words (Narrow),,['Groceries: Cooking Essentials - Palm Oil'],['Groceries : Cooking Essentials - Edible Oil's'],,,
shows other brand mosquito repellent liquids,,good night liquid,Generic + Brand,,['Groceries: Home Care - Mosquito Repellent'],['Groceries: Home Care - Freshners & Repellents'],['Good Night'],,
plain glass bottles and soda bottle opener retrieved,,soda 750 ml,Generic + PackSize,,"['Groceries: Biscuits, Drinks & Packaged Foods - Soda & Tonic Water']","['Groceries: Biscuits, Drinks & Packaged Foods - Drinks & Juices']",,,['750 ml']
getting chandan floor cleaner and sandalwood plants instead of chandan powder or its other products,,chandan,Generic Words (Broad),,['Groceries: Crafts of India - Pooja Accessories'],['Groceries: Crafts of India - Pooja Needs'],,,
relevant results,,penut butter,Generic Words (Narrow),,"['Groceries: Biscuits, Drinks & Packaged Foods - Choco & Nut Spread']","['Groceries: Biscuits, Drinks & Packaged Foods - Spread, Sauces & Ketchup']",,,
shows relevant products in first page but then moves to showing mostly gulab flowers,,dabur gulabari,Generic + Brand,,"['Groceries: Personal Care - Bathing Bars & Soaps','Groceries: Beauty - Cleanser & Make Up Remover']",['Groceries: Personal Care - Skin Care'],['dabur'],,
no relevant oil products,,refined oil 1 l,Generic + PackSize,,,['Groceries: Cooking Essentials - Edible Oil's'],, ,['1 l']
relevant results,,soya badi,Generic Words (Broad),,['Groceries: Cooking Essentials - Soya Products'],['Groceries: Cooking Essentials - Wheat & Soya'],,,
relevant results,,jowar atta,Generic Words (Narrow),,['Groceries: Cooking Essentials - Atta'],"['Groceries: Cooking Essentials - Atta, Flours & Sooji']",,,
"shows moisturizers from ponds, but then moisturizers from other brands. Does not show other lotions from ponds brands",,ponds moisturiser,Generic + Brand,,['Groceries: Personal Care - Face Care'],['Groceries: Personal Care - Skin Care'],['pond's'],,
relevant results,,besan flour 1kg,Generic + PackSize,,['Groceries: Cooking Essentials - Besan'],"['Groceries: Cooking Essentials - Atta, Flours & Sooji']",,,['1kg']
"gives raw banana results with some banana powder, and then ripe bananas",,raw banana,Generic Words (Broad),,['Groceries: Fruits & Vegetables - Banana'],['Groceries: Fruits & Vegetables - Fresh Fruits'],,,
relevant results,,white vinegar,Generic Words (Narrow),,"['Groceries: Biscuits, Drinks & Packaged Foods - Tomato Ketchup & Sauces']","['Groceries: Biscuits, Drinks & Packaged Foods - Spread, Sauces & Ketchup']",,,
but more gifts with dairy milk chocolate,,dairy milk chocolate,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Chocolates']","['Groceries: Biscuits, Drinks & Packaged Foods - Chocolates & Candies']",['cadbury'],,
"shows 3-4 pages of pack biscuits, but then starts showing results matching 'pack of *'",,biscuit family pack,Generic + PackSize,,"['Groceries: Biscuits, Drinks & Packaged Foods - Cookies']","['Groceries: Biscuits, Drinks & Packaged Foods - Biscuits & Cookies']",,,['family pack']
relevant results,,mop stick,Generic Words (Broad),,['Industrial & Professional Supplies: Home Cleaning & Organisation - Mops & Accessories'],['Industrial & Professional Supplies: Home Cleaning & Organisation - Cleaning Tools'],,,
